Appname,Appsize,Appversion,Filelink,InstallerOnly,Developer,Devlink,Featured
EliteCardWars,159MB,1.0.7,https://github.com/Elfiawesome/EliteCardWars/releases/download/TestingBuilds/EliteCardWarsTestingBuild_v1.0.7.zip,N,Elfiawesome,https://github.com/Elfiawesome,Y
ROBLOX,5.6MB,1.6.2,https://www.roblox.com/download/client?os=win,Y,ROBLOX Corporation,https://corp.roblox.com/,N
SoundPlus,None,None,None,N,SoundPlus Studio,None,N
Growtopia,217MB,4.06,https://growtopiagame.com/Growtopia-Installer.exe,Y,Ubisoft,https://www.ubisoft.com/,N
Discord,109MB,247.2,https://discord.com/api/downloads/distributions/app/installers/latest?channel=stable&platform=win&arch=x64,Y,Discord,https://discord.com/company,N
Microsoft 365,7.20MB,18025.20096,https://go.microsoft.com/fwlink/?linkid=2264705&clcid=0x409&culture=en-us&country=us,Y,Microsoft,https://www.microsoft.com/,N
Battle.net,4.7MB,2.35.1.14956,https://download.battle.net/en-us/?platform=windows,Y,Blizzard Entertainment,https://www.blizzard.com/en-gb/company/about,N
OperaGX,3.08MB,113.0.5230.26,https://www.opera.com/computer/thanks?ni=eapgx&os=windows,Y,Opera Software,https://www.opera.com/about,N
Zoom,102MB,6.2.2,https://zoom.us/client/6.2.0.46690/ZoomInstallerFull.exe?archType=x64,Y,Zoom Video Communication,https://www.zoom.us/,N
Overwolf,2.08MB,258.1.7,https://download.overwolf.com/install/Download,Y,Overwolf,https://www.overwolf.com/about-overwolf/,N
